,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,odds
162,Scott Piercy,25818,71.163,0.164,-0.483,0.333,0.26,0.41,-0.096,7.5,0.5,7.5,0.5,
163,D.A. Points,25240,,,,,,,,,,,,
164,J.T. Poston,49771,70.966,-0.097,0.1,-0.037,0.148,0.086,-0.246,4.0,0.0,4.0,0.0,
165,"Ted Potter, Jr.",27556,,,,,,,,,,,,
166,Seamus Power,28252,69.943,0.829,0.071,0.365,-0.082,-0.333,0.91,4.0,1.0,4.0,1.0,25000.0
167,Andrew Putnam,34256,70.069,0.798,-0.406,0.316,0.047,0.136,0.752,1.0,0.0,1.0,0.0,13625.0
168,Jon Rahm,46970,68.39,2.941,0.792,0.376,2.154,0.985,0.787,-5.0,1.0,-5.0,1.0,322.0
169,Aaron Rai,46414,70.647,0.202,0.254,0.235,0.536,0.048,-0.335,,,,,7750.0
170,Chad Ramey,47983,72.179,-0.893,-0.245,-0.23,-0.964,-0.488,0.071,,,,,
171,Chez Reavie,26476,73.074,-1.813,-0.339,-0.328,-1.037,-0.371,-0.776,3.5,1.0,3.5,1.0,133333.0
172,Doc Redman,53165,71.698,-1.06,-0.332,-0.44,-1.436,-0.664,0.376,9.0,0.0,9.0,0.0,
173,Davis Riley,47995,71.107,-0.233,-0.204,-0.241,0.225,0.67,-0.458,,,,,25625.0
174,Patrick Rodgers,36699,70.153,0.697,0.318,0.309,0.526,-0.101,0.171,,,,,39250.0
175,Justin Rose,22405,69.583,1.27,0.099,0.134,0.582,0.349,0.688,-3.25,0.75,-3.25,0.75,8250.0
176,Kevin Roy,39335,71.68,-0.62,-0.248,-0.13,0.242,0.62,-0.862,,,,,
177,Sam Ryder,37275,70.324,0.99,-0.47,-0.237,-0.002,0.705,0.992,,,,,150000.0
178,Rory Sabbatini,23621,73.19,-1.98,-0.683,-0.108,-1.903,-1.112,-0.076,,,,,
179,Xander Schauffele,48081,69.519,1.934,0.389,-0.038,1.567,1.215,0.367,-2.2,0.8,-2.2,0.8,1550.0
180,Scottie Scheffler,46046,69.232,1.9,0.901,0.154,1.839,0.784,0.061,-5.67,1.0,-5.67,1.0,588.0
181,Adam Schenk,47347,70.895,0.225,-0.077,0.144,-0.101,-0.168,0.326,,,,,10125.0
182,Matti Schmid,48867,72.345,0.132,0.381,-0.766,-0.344,0.041,0.476,,,,,
183,Matthias Schwab,34610,71.483,-0.612,-0.287,0.053,-0.457,-0.224,-0.155,,,,,
184,Adam Scott,24502,71.584,-0.251,0.235,0.064,0.207,-0.091,-0.458,3.5,1.0,3.5,1.0,15000.0
185,Robby Shelton,46441,70.372,0.664,-0.279,0.383,0.73,0.626,-0.065,,,,,83333.0
186,Greyson Sigg,51890,70.605,0.499,-0.034,0.035,0.039,0.038,0.46,,,,,73333.0
187,Webb Simpson,29221,71.741,-0.906,-0.269,-0.305,-0.211,0.362,-0.694,-0.5,0.88,-0.5,0.88,45500.0
188,Vijay Singh,06567,,,,,,,,9.5,0.25,9.5,0.25,
189,Alex Smalley,46340,70.392,0.671,0.204,0.076,0.524,0.245,0.147,,,,,366667.0
190,Austin Smotherman,50095,72.029,-1.288,-0.048,-0.567,-0.849,-0.235,-0.439,,,,,
191,Brandt Snedeker,27649,,,,,,,,3.8,0.6,3.8,0.6,
192,J.J. Spaun,39324,70.42,0.552,0.327,0.287,0.539,-0.075,0.013,3.0,1.0,3.0,1.0,108000.0
193,Jordan Spieth,34046,71.129,0.166,0.033,0.169,0.383,0.181,-0.216,-4.88,0.88,-4.88,0.88,2275.0
194,Kevin Stadler,26679,,,,,,,,7.0,0.0,7.0,0.0,
195,Scott Stallings,30692,71.09,0.142,0.187,0.156,0.208,-0.135,-0.066,,,,,200000.0
196,Kyle Stanley,30110,73.313,-2.431,0.096,-0.227,-0.394,-0.263,-2.037,2.0,1.0,2.0,1.0,
197,Sam Stevens,55893,71.232,0.138,0.429,-0.011,0.101,-0.316,0.037,,,,,
198,Sepp Straka,49960,70.937,0.654,-0.266,-0.198,0.235,0.698,0.419,5.0,1.0,5.0,1.0,23750.0
199,Robert Streb,34431,71.958,-1.213,-0.207,-0.041,-0.516,-0.268,-0.697,10.0,0.0,10.0,0.0,
200,Kevin Streelman,27214,71.617,-0.238,0.077,-0.012,-0.258,-0.323,0.02,1.0,1.0,1.0,1.0,59250.0
201,Chris Stroud,27963,71.152,0.207,-0.134,-0.151,0.332,0.617,-0.125,,,,,
202,Brian Stuard,31560,72.189,-0.742,-0.821,0.308,-0.923,-0.409,0.181,6.0,1.0,6.0,1.0,
